family	archive_name	archive_sha256	archive_size	file_count	release_version
W1-W2-W3-W4_Albareda	W1-W2-W3-W4_Albareda.zip	63ba9757a6a165a5e15f9dd06526bc60f5f5375304a1297b32adc84b87193bb5	602563	182	1.0.0
W5A_Henn	W5A_Henn.zip	d516e133250b94a10f11dbf31ce374e5dbc7b8b263eb14250a79d121691aec0a	323398	146	1.0.0
W5B_Henn	W5B_Henn.zip	f7ba0d65b376cf459ea2e9235365a334517a6279350ea3262017aa4c8d242a01	1404376	442	1.0.0
W5C_Henn	W5C_Henn.zip	4b14753d543e57029c0cdc7c3516a15f647f62502fed1f87beb435941d0b40ef	20459268	5994	1.0.0
W5D_Henn	W5D_Henn.zip	26be04deb42009968776734507087b8731ab2477f2d535c3ace20294eb5747bb	403422	194	1.0.0
W6A_Arbex	W6A_Arbex.zip	e4d41f0d5ced0fa06eb49cf8aad1f1944546e5f49b3bb0e0056dd9262cff9f94	311085	157	1.0.0
W6B_SQL	W6B_SQL.zip	5a1d7280a7bb1ab66083c193568ed10048f792dffcecce7716a15b6c3b40b30c	1126647	25	1.0.0
W7_FENG	W7_FENG.zip	8ac30ce76aa9c33e40d0406d650030fa327513db5bc4caa83b0403a2b0691183	1557127	13	1.0.0
W8_JIANG	W8_JIANG.zip	54b22655b99dee9f2371496c3a358dddf81b232db96b3b4bf8096e8aba156f3b	1606404	204	1.0.0
W9_BASR	W9_BASR.zip	d5f56fd277e0a34dcc3e25172a7d015634b9e00d235bb487481144b8c03d9e9a	3451679	1562	1.0.0
