Order 0	number of articles 15	due date 708.167
0	Aisle 0	Location 34
1	Aisle 0	Location 9
2	Aisle 14	Location 27
3	Aisle 1	Location 33
4	Aisle 0	Location 19
5	Aisle 0	Location 27
6	Aisle 4	Location 30
7	Aisle 1	Location 13
8	Aisle 0	Location 22
9	Aisle 17	Location 28
10	Aisle 4	Location 43
11	Aisle 4	Location 23
12	Aisle 14	Location 6
13	Aisle 0	Location 16
14	Aisle 1	Location 2
Order 1	number of articles 12	due date 468.167
0	Aisle 4	Location 7
1	Aisle 0	Location 37
2	Aisle 3	Location 13
3	Aisle 0	Location 39
4	Aisle 5	Location 15
5	Aisle 5	Location 43
6	Aisle 1	Location 33
7	Aisle 3	Location 20
8	Aisle 8	Location 35
9	Aisle 1	Location 43
10	Aisle 5	Location 18
11	Aisle 1	Location 37
Order 2	number of articles 9	due date 703.167
0	Aisle 5	Location 28
1	Aisle 15	Location 20
2	Aisle 5	Location 17
3	Aisle 0	Location 15
4	Aisle 0	Location 27
5	Aisle 5	Location 43
6	Aisle 0	Location 4
7	Aisle 0	Location 22
8	Aisle 1	Location 15
Order 3	number of articles 21	due date 36.1667
0	Aisle 3	Location 16
1	Aisle 5	Location 2
2	Aisle 19	Location 14
3	Aisle 1	Location 2
4	Aisle 12	Location 13
5	Aisle 3	Location 19
6	Aisle 0	Location 16
7	Aisle 1	Location 31
8	Aisle 10	Location 19
9	Aisle 0	Location 12
10	Aisle 0	Location 42
11	Aisle 2	Location 21
12	Aisle 0	Location 38
13	Aisle 0	Location 31
14	Aisle 5	Location 17
15	Aisle 5	Location 43
16	Aisle 0	Location 1
17	Aisle 2	Location 17
18	Aisle 3	Location 42
19	Aisle 5	Location 33
20	Aisle 0	Location 15
Order 4	number of articles 18	due date 508.167
0	Aisle 4	Location 14
1	Aisle 5	Location 26
2	Aisle 1	Location 23
3	Aisle 4	Location 1
4	Aisle 3	Location 43
5	Aisle 16	Location 32
6	Aisle 0	Location 9
7	Aisle 0	Location 40
8	Aisle 3	Location 20
9	Aisle 0	Location 26
10	Aisle 12	Location 23
11	Aisle 0	Location 11
12	Aisle 2	Location 15
13	Aisle 1	Location 37
14	Aisle 18	Location 6
15	Aisle 0	Location 10
16	Aisle 0	Location 20
17	Aisle 1	Location 14
Order 5	number of articles 18	due date 579.167
0	Aisle 0	Location 34
1	Aisle 4	Location 18
2	Aisle 0	Location 14
3	Aisle 1	Location 4
4	Aisle 17	Location 42
5	Aisle 0	Location 1
6	Aisle 5	Location 16
7	Aisle 3	Location 20
8	Aisle 5	Location 40
9	Aisle 1	Location 19
10	Aisle 0	Location 7
11	Aisle 0	Location 35
12	Aisle 0	Location 24
13	Aisle 5	Location 17
14	Aisle 3	Location 7
15	Aisle 3	Location 39
16	Aisle 1	Location 38
17	Aisle 5	Location 33
Order 6	number of articles 21	due date 50.1667
0	Aisle 1	Location 21
1	Aisle 1	Location 6
