Order 0	number of articles 17	due date 85
0	Aisle 1	Location 42
1	Aisle 7	Location 13
2	Aisle 0	Location 26
3	Aisle 3	Location 10
4	Aisle 1	Location 9
5	Aisle 18	Location 9
6	Aisle 5	Location 33
7	Aisle 0	Location 8
8	Aisle 1	Location 5
9	Aisle 13	Location 43
10	Aisle 4	Location 6
11	Aisle 0	Location 23
12	Aisle 0	Location 21
13	Aisle 1	Location 26
14	Aisle 0	Location 37
15	Aisle 0	Location 22
16	Aisle 0	Location 31
Order 1	number of articles 14	due date 126
0	Aisle 4	Location 37
1	Aisle 4	Location 14
2	Aisle 4	Location 15
3	Aisle 0	Location 2
4	Aisle 2	Location 18
5	Aisle 5	Location 17
6	Aisle 1	Location 24
7	Aisle 1	Location 25
8	Aisle 17	Location 38
9	Aisle 1	Location 42
10	Aisle 1	Location 2
11	Aisle 5	Location 37
12	Aisle 1	Location 11
13	Aisle 19	Location 35
Order 2	number of articles 22	due date 220
0	Aisle 1	Location 0
1	Aisle 5	Location 37
2	Aisle 0	Location 20
3	Aisle 0	Location 22
4	Aisle 11	Location 22
5	Aisle 3	Location 24
6	Aisle 2	Location 20
7	Aisle 5	Location 38
8	Aisle 1	Location 22
9	Aisle 0	Location 4
10	Aisle 0	Location 35
11	Aisle 3	Location 41
12	Aisle 0	Location 15
13	Aisle 5	Location 19
14	Aisle 1	Location 16
15	Aisle 4	Location 33
16	Aisle 0	Location 14
17	Aisle 3	Location 39
18	Aisle 1	Location 11
19	Aisle 14	Location 15
20	Aisle 0	Location 21
21	Aisle 2	Location 19
Order 3	number of articles 23	due date 55
0	Aisle 5	Location 5
1	Aisle 1	Location 18
2	Aisle 3	Location 1
3	Aisle 0	Location 3
4	Aisle 1	Location 32
5	Aisle 1	Location 8
6	Aisle 0	Location 30
7	Aisle 1	Location 23
8	Aisle 4	Location 43
9	Aisle 1	Location 34
10	Aisle 2	Location 39
11	Aisle 4	Location 4
12	Aisle 4	Location 23
13	Aisle 1	Location 35
14	Aisle 2	Location 19
15	Aisle 1	Location 36
16	Aisle 4	Location 18
17	Aisle 0	Location 1
18	Aisle 0	Location 4
19	Aisle 11	Location 35
20	Aisle 1	Location 30
21	Aisle 1	Location 42
22	Aisle 2	Location 16
Order 4	number of articles 11	due date 194
0	Aisle 0	Location 28
1	Aisle 0	Location 26
2	Aisle 4	Location 27
3	Aisle 1	Location 15
4	Aisle 1	Location 19
5	Aisle 1	Location 5
6	Aisle 0	Location 19
7	Aisle 5	Location 18
8	Aisle 1	Location 43
9	Aisle 1	Location 2
10	Aisle 3	Location 25
Order 5	number of articles 14	due date 188
0	Aisle 0	Location 22
1	Aisle 15	Location 33
2	Aisle 1	Location 39
3	Aisle 1	Location 20
4	Aisle 2	Location 17
5	Aisle 2	Location 19
6	Aisle 0	Location 34
7	Aisle 0	Location 39
8	Aisle 5	Location 17
9	Aisle 0	Location 32
10	Aisle 0	Location 36
11	Aisle 5	Location 30
12	Aisle 0	Location 33
13	Aisle 3	Location 31
Order 6	number of articles 12	due date 201
0	Aisle 0	Location 16
1	Aisle 3	Location 32
2	Aisle 5	Location 36
3	Aisle 0	Location 19
4	Aisle 4	Location 35
5	Aisle 5	Location 31
6	Aisle 4	Location 36
7	Aisle 13	Location 31
8	Aisle 2	Location 28
9	Aisle 0	Location 27
10	Aisle 5	Location 39
11	Aisle 2	Location 21
Order 7	number of articles 11	due date 62
0	Aisle 16	Location 0
1	Aisle 1	Location 3
2	Aisle 1	Location 21
3	Aisle 11	Location 42
4	Aisle 1	Location 20
5	Aisle 3	Location 37
6	Aisle 0	Location 44
7	Aisle 1	Location 14
8	Aisle 1	Location 9
9	Aisle 5	Location 20
10	Aisle 4	Location 32
Order 8	number of articles 14	due date 50
0	Aisle 3	Location 13
1	Aisle 0	Location 44
2	Aisle 2	Location 32
3	Aisle 0	Location 23
4	Aisle 12	Location 39
5	Aisle 5	Location 24
6	Aisle 0	Location 28
7	Aisle 0	Location 38
8	Aisle 0	Location 10
9	Aisle 0	Location 17
10	Aisle 0	Location 40
11	Aisle 1	Location 31
12	Aisle 0	Location 11
13	Aisle 1	Location 14
Order 9	number of articles 23	due date 76
0	Aisle 0	Location 20
1	Aisle 0	Location 16
2	Aisle 4	Location 23
3	Aisle 3	Location 4
4	Aisle 0	Location 25
5	Aisle 4	Location 3
6	Aisle 1	Location 27
7	Aisle 19	Location 31
8	Aisle 5	Location 36
9	Aisle 3	Location 11
10	Aisle 1	Location 20
11	Aisle 2	Location 25
12	Aisle 19	Location 4
13	Aisle 11	Location 0
14	Aisle 0	Location 24
15	Aisle 5	Location 28
16	Aisle 2	Location 36
17	Aisle 3	Location 20
18	Aisle 1	Location 38
19	Aisle 5	Location 16
20	Aisle 4	Location 9
21	Aisle 13	Location 42
22	Aisle 0	Location 28
Order 10	number of articles 11	due date 181
0	Aisle 1	Location 4
1	Aisle 5	Location 14
2	Aisle 9	Location 20
3	Aisle 6	Location 42
4	Aisle 1	Location 27
5	Aisle 0	Location 1
6	Aisle 1	Location 13
7	Aisle 13	Location 33
8	Aisle 0	Location 40
9	Aisle 4	Location 36
10	Aisle 1	Location 40
Order 11	number of articles 7	due date 79
0	Aisle 1	Location 17
1	Aisle 3	Location 42
2	Aisle 1	Location 39
3	Aisle 1	Location 24
4	Aisle 0	Location 4
5	Aisle 4	Location 35
6	Aisle 0	Location 11
Order 12	number of articles 17	due date 65
0	Aisle 1	Location 32
1	Aisle 4	Location 18
2	Aisle 13	Location 27
3	Aisle 15	Location 29
4	Aisle 3	Location 15
5	Aisle 1	Location 0
6	Aisle 2	Location 16
7	Aisle 1	Location 15
8	Aisle 0	Location 5
9	Aisle 5	Location 21
10	Aisle 14	Location 39
11	Aisle 17	Location 14
12	Aisle 1	Location 44
13	Aisle 1	Location 43
14	Aisle 1	Location 7
15	Aisle 1	Location 24
16	Aisle 1	Location 36
Order 13	number of articles 23	due date 188
0	Aisle 0	Location 11
1	Aisle 14	Location 17
2	Aisle 4	Location 11
3	Aisle 1	Location 31
4	Aisle 2	Location 22
5	Aisle 0	Location 25
6	Aisle 1	Location 35
7	Aisle 2	Location 38
8	Aisle 1	Location 44
9	Aisle 1	Location 22
10	Aisle 5	Location 24
11	Aisle 5	Location 7
12	Aisle 0	Location 38
13	Aisle 2	Location 1
14	Aisle 0	Location 41
15	Aisle 4	Location 27
16	Aisle 10	Location 9
17	Aisle 7	Location 41
18	Aisle 0	Location 29
19	Aisle 4	Location 24
20	Aisle 0	Location 19
21	Aisle 8	Location 8
22	Aisle 0	Location 6
Order 14	number of articles 21	due date 65
0	Aisle 0	Location 24
1	Aisle 1	Location 13
2	Aisle 1	Location 36
3	Aisle 0	Location 43
4	Aisle 5	Location 7
5	Aisle 8	Location 10
6	Aisle 4	Location 41
7	Aisle 2	Location 4
8	Aisle 1	Location 29
9	Aisle 0	Location 32
10	Aisle 1	Location 12
11	Aisle 1	Location 16
12	Aisle 18	Location 33
13	Aisle 0	Location 15
14	Aisle 2	Location 0
15	Aisle 5	Location 25
16	Aisle 1	Location 7
17	Aisle 14	Location 10
18	Aisle 1	Location 4
19	Aisle 1	Location 14
20	Aisle 1	Location 40
Order 15	number of articles 7	due date 136
0	Aisle 2	Location 28
1	Aisle 11	Location 23
2	Aisle 1	Location 35
3	Aisle 3	Location 6
4	Aisle 15	Location 18
5	Aisle 4	Location 1
6	Aisle 3	Location 30
Order 16	number of articles 11	due date 159
0	Aisle 1	Location 33
1	Aisle 2	Location 44
2	Aisle 11	Location 19
3	Aisle 12	Location 0
4	Aisle 2	Location 26
5	Aisle 5	Location 28
6	Aisle 1	Location 22
7	Aisle 1	Location 3
8	Aisle 0	Location 18
9	Aisle 0	Location 0
10	Aisle 0	Location 39
Order 17	number of articles 10	due date 119
0	Aisle 1	Location 3
1	Aisle 1	Location 24
2	Aisle 1	Location 16
3	Aisle 1	Location 43
4	Aisle 0	Location 13
5	Aisle 0	Location 22
6	Aisle 0	Location 19
7	Aisle 1	Location 5
8	Aisle 3	Location 33
9	Aisle 1	Location 20
Order 18	number of articles 9	due date 232
0	Aisle 3	Location 26
1	Aisle 5	Location 0
2	Aisle 1	Location 20
3	Aisle 4	Location 28
4	Aisle 0	Location 18
5	Aisle 16	Location 17
6	Aisle 1	Location 35
7	Aisle 1	Location 41
8	Aisle 0	Location 16
Order 19	number of articles 22	due date 83
0	Aisle 0	Location 12
1	Aisle 1	Location 11
2	Aisle 0	Location 6
3	Aisle 1	Location 5
4	Aisle 1	Location 15
5	Aisle 1	Location 44
6	Aisle 0	Location 22
7	Aisle 4	Location 9
8	Aisle 1	Location 21
9	Aisle 1	Location 38
10	Aisle 0	Location 7
11	Aisle 4	Location 36
12	Aisle 1	Location 25
13	Aisle 9	Location 29
14	Aisle 7	Location 35
15	Aisle 0	Location 39
16	Aisle 1	Location 31
17	Aisle 0	Location 44
18	Aisle 0	Location 42
19	Aisle 1	Location 35
20	Aisle 1	Location 27
21	Aisle 1	Location 24
Order 20	number of articles 13	due date 219
0	Aisle 0	Location 30
1	Aisle 0	Location 3
