Order 0	number of articles 7	due date 186.063
0	Aisle 3	Location 25
1	Aisle 3	Location 35
2	Aisle 4	Location 12
3	Aisle 1	Location 14
4	Aisle 0	Location 36
5	Aisle 3	Location 12
6	Aisle 1	Location 32
Order 1	number of articles 7	due date 228.063
0	Aisle 0	Location 24
1	Aisle 4	Location 13
2	Aisle 0	Location 22
3	Aisle 0	Location 20
4	Aisle 2	Location 12
5	Aisle 19	Location 6
6	Aisle 3	Location 16
Order 2	number of articles 7	due date 190.063
0	Aisle 3	Location 29
1	Aisle 1	Location 0
2	Aisle 2	Location 12
3	Aisle 1	Location 10
4	Aisle 7	Location 6
5	Aisle 1	Location 13
6	Aisle 0	Location 33
Order 3	number of articles 12	due date 256.063
0	Aisle 3	Location 32
1	Aisle 1	Location 27
2	Aisle 0	Location 14
3	Aisle 3	Location 34
4	Aisle 1	Location 6
5	Aisle 5	Location 23
6	Aisle 0	Location 31
7	Aisle 0	Location 29
8	Aisle 2	Location 16
9	Aisle 2	Location 34
10	Aisle 1	Location 14
11	Aisle 3	Location 21
Order 4	number of articles 12	due date 304.063
0	Aisle 10	Location 35
1	Aisle 1	Location 4
2	Aisle 3	Location 6
3	Aisle 0	Location 44
4	Aisle 2	Location 11
5	Aisle 1	Location 22
6	Aisle 2	Location 40
7	Aisle 3	Location 40
8	Aisle 1	Location 21
9	Aisle 15	Location 15
10	Aisle 1	Location 31
11	Aisle 4	Location 29
Order 5	number of articles 17	due date 168.063
0	Aisle 18	Location 6
1	Aisle 1	Location 44
2	Aisle 0	Location 8
3	Aisle 4	Location 13
4	Aisle 1	Location 39
5	Aisle 3	Location 32
6	Aisle 0	Location 32
7	Aisle 0	Location 12
8	Aisle 5	Location 36
9	Aisle 0	Location 1
10	Aisle 1	Location 26
11	Aisle 4	Location 37
12	Aisle 5	Location 9
13	Aisle 4	Location 44
14	Aisle 5	Location 34
15	Aisle 18	Location 42
16	Aisle 8	Location 28
Order 6	number of articles 6	due date 85.0625
0	Aisle 1	Location 43
1	Aisle 2	Location 32
2	Aisle 2	Location 44
3	Aisle 5	Location 40
4	Aisle 1	Location 31
5	Aisle 8	Location 19
Order 7	number of articles 11	due date 37.0625
0	Aisle 1	Location 15
1	Aisle 9	Location 11
2	Aisle 0	Location 13
3	Aisle 0	Location 25
4	Aisle 0	Location 0
5	Aisle 0	Location 4
6	Aisle 3	Location 4
7	Aisle 3	Location 43
8	Aisle 2	Location 23
9	Aisle 0	Location 19
10	Aisle 0	Location 6
Order 8	number of articles 14	due date 213.063
0	Aisle 2	Location 43
1	Aisle 5	Location 16
2	Aisle 6	Location 3
3	Aisle 0	Location 26
4	Aisle 5	Location 17
5	Aisle 1	Location 24
6	Aisle 0	Location 15
7	Aisle 0	Location 1
8	Aisle 7	Location 44
9	Aisle 4	Location 14
10	Aisle 7	Location 15
11	Aisle 4	Location 25
12	Aisle 15	Location 26
13	Aisle 3	Location 19
Order 9	number of articles 11	due date 18.0625
0	Aisle 13	Location 6
1	Aisle 2	Location 33
2	Aisle 5	Location 42
3	Aisle 0	Location 20
4	Aisle 2	Location 17
5	Aisle 1	Location 26
6	Aisle 2	Location 31
7	Aisle 4	Location 31
8	Aisle 4	Location 1
9	Aisle 1	Location 34
10	Aisle 1	Location 27
Order 10	number of articles 22	due date 145.063
0	Aisle 0	Location 19
1	Aisle 1	Location 0
2	Aisle 1	Location 24
3	Aisle 2	Location 11
4	Aisle 2	Location 20
5	Aisle 4	Location 2
6	Aisle 0	Location 33
7	Aisle 5	Location 22
8	Aisle 5	Location 8
9	Aisle 3	Location 16
10	Aisle 0	Location 21
11	Aisle 1	Location 9
12	Aisle 1	Location 26
13	Aisle 3	Location 18
14	Aisle 15	Location 44
15	Aisle 2	Location 25
16	Aisle 1	Location 4
17	Aisle 14	Location 3
18	Aisle 1	Location 29
19	Aisle 5	Location 37
20	Aisle 3	Location 13
21	Aisle 5	Location 44
Order 11	number of articles 18	due date 93.0625
0	Aisle 3	Location 19
1	Aisle 1	Location 33
2	Aisle 1	Location 17
3	Aisle 2	Location 23
4	Aisle 3	Location 9
5	Aisle 3	Location 5
6	Aisle 4	Location 18
7	Aisle 1	Location 27
8	Aisle 4	Location 17
9	Aisle 5	Location 21
10	Aisle 0	Location 35
11	Aisle 4	Location 24
12	Aisle 1	Location 23
13	Aisle 5	Location 16
14	Aisle 0	Location 33
15	Aisle 4	Location 39
16	Aisle 1	Location 14
17	Aisle 6	Location 36
Order 12	number of articles 20	due date 44.0625
0	Aisle 0	Location 32
1	Aisle 0	Location 44
2	Aisle 4	Location 22
3	Aisle 3	Location 0
4	Aisle 11	Location 15
5	Aisle 3	Location 44
6	Aisle 1	Location 35
7	Aisle 1	Location 27
8	Aisle 0	Location 14
9	Aisle 1	Location 37
10	Aisle 0	Location 8
11	Aisle 2	Location 18
12	Aisle 4	Location 29
13	Aisle 3	Location 12
14	Aisle 11	Location 32
15	Aisle 15	Location 11
16	Aisle 0	Location 29
17	Aisle 0	Location 20
18	Aisle 0	Location 22
19	Aisle 1	Location 39
Order 13	number of articles 17	due date 102.063
0	Aisle 0	Location 44
1	Aisle 1	Location 43
2	Aisle 2	Location 3
3	Aisle 18	Location 21
4	Aisle 1	Location 21
5	Aisle 1	Location 7
6	Aisle 1	Location 12
7	Aisle 0	Location 24
8	Aisle 4	Location 13
9	Aisle 5	Location 1
10	Aisle 0	Location 43
11	Aisle 0	Location 28
12	Aisle 5	Location 19
13	Aisle 1	Location 38
14	Aisle 1	Location 9
15	Aisle 2	Location 8
16	Aisle 1	Location 22
Order 14	number of articles 12	due date 112.063
0	Aisle 0	Location 32
1	Aisle 17	Location 23
2	Aisle 1	Location 38
3	Aisle 10	Location 8
4	Aisle 0	Location 20
5	Aisle 4	Location 10
6	Aisle 0	Location 18
