Order 0	number of articles 7	due date 42
0	Aisle 0	Location 29
1	Aisle 3	Location 10
2	Aisle 4	Location 37
3	Aisle 0	Location 11
4	Aisle 1	Location 31
5	Aisle 3	Location 38
6	Aisle 1	Location 29
Order 1	number of articles 12	due date 174
0	Aisle 5	Location 0
1	Aisle 10	Location 42
2	Aisle 1	Location 17
3	Aisle 5	Location 42
4	Aisle 1	Location 37
5	Aisle 4	Location 41
6	Aisle 0	Location 21
7	Aisle 5	Location 36
8	Aisle 0	Location 25
9	Aisle 1	Location 31
10	Aisle 1	Location 32
11	Aisle 1	Location 10
Order 2	number of articles 15	due date 62
0	Aisle 16	Location 42
1	Aisle 3	Location 22
2	Aisle 1	Location 40
3	Aisle 1	Location 20
4	Aisle 4	Location 32
5	Aisle 4	Location 21
6	Aisle 1	Location 34
7	Aisle 0	Location 7
8	Aisle 0	Location 38
9	Aisle 1	Location 12
10	Aisle 3	Location 19
11	Aisle 5	Location 8
12	Aisle 0	Location 0
13	Aisle 5	Location 26
14	Aisle 17	Location 44
Order 3	number of articles 15	due date 146
0	Aisle 18	Location 36
1	Aisle 1	Location 42
2	Aisle 1	Location 4
3	Aisle 0	Location 6
4	Aisle 1	Location 7
5	Aisle 4	Location 15
6	Aisle 0	Location 9
7	Aisle 18	Location 19
8	Aisle 3	Location 31
9	Aisle 0	Location 27
10	Aisle 1	Location 3
11	Aisle 13	Location 13
12	Aisle 4	Location 33
13	Aisle 1	Location 38
14	Aisle 3	Location 5
Order 4	number of articles 15	due date 152
0	Aisle 0	Location 3
1	Aisle 2	Location 26
2	Aisle 1	Location 22
3	Aisle 0	Location 44
4	Aisle 1	Location 4
5	Aisle 4	Location 4
6	Aisle 0	Location 11
7	Aisle 0	Location 16
8	Aisle 4	Location 15
9	Aisle 0	Location 10
10	Aisle 14	Location 12
11	Aisle 3	Location 22
12	Aisle 1	Location 7
13	Aisle 0	Location 40
14	Aisle 0	Location 31
Order 5	number of articles 5	due date 194
0	Aisle 1	Location 40
1	Aisle 16	Location 35
2	Aisle 0	Location 36
3	Aisle 5	Location 28
4	Aisle 1	Location 9
Order 6	number of articles 17	due date 75
0	Aisle 1	Location 30
1	Aisle 1	Location 3
2	Aisle 3	Location 23
3	Aisle 1	Location 42
4	Aisle 0	Location 33
5	Aisle 5	Location 6
6	Aisle 3	Location 5
7	Aisle 2	Location 22
8	Aisle 0	Location 25
9	Aisle 3	Location 26
10	Aisle 1	Location 37
11	Aisle 5	Location 16
12	Aisle 1	Location 16
13	Aisle 3	Location 16
14	Aisle 17	Location 28
15	Aisle 9	Location 22
16	Aisle 15	Location 19
Order 7	number of articles 6	due date 114
0	Aisle 1	Location 31
1	Aisle 1	Location 23
2	Aisle 14	Location 1
3	Aisle 5	Location 44
4	Aisle 0	Location 19
5	Aisle 2	Location 22
Order 8	number of articles 18	due date 195
0	Aisle 3	Location 12
1	Aisle 0	Location 5
2	Aisle 0	Location 26
3	Aisle 1	Location 25
4	Aisle 0	Location 1
5	Aisle 1	Location 44
6	Aisle 0	Location 43
7	Aisle 2	Location 11
8	Aisle 0	Location 25
9	Aisle 4	Location 32
10	Aisle 0	Location 10
11	Aisle 1	Location 1
12	Aisle 0	Location 33
13	Aisle 3	Location 25
14	Aisle 0	Location 34
15	Aisle 0	Location 12
16	Aisle 2	Location 24
17	Aisle 1	Location 40
Order 9	number of articles 8	due date 196
0	Aisle 3	Location 32
1	Aisle 0	Location 30
2	Aisle 2	Location 32
3	Aisle 5	Location 26
4	Aisle 3	Location 19
5	Aisle 1	Location 36
6	Aisle 1	Location 23
7	Aisle 0	Location 15
Order 10	number of articles 23	due date 197
0	Aisle 6	Location 13
1	Aisle 4	Location 43
2	Aisle 0	Location 16
3	Aisle 1	Location 18
4	Aisle 13	Location 26
5	Aisle 3	Location 43
6	Aisle 3	Location 18
7	Aisle 8	Location 8
8	Aisle 1	Location 21
9	Aisle 1	Location 39
10	Aisle 15	Location 17
11	Aisle 5	Location 36
12	Aisle 5	Location 32
13	Aisle 11	Location 38
14	Aisle 11	Location 1
15	Aisle 0	Location 23
16	Aisle 9	Location 42
17	Aisle 0	Location 0
18	Aisle 1	Location 7
19	Aisle 0	Location 8
20	Aisle 1	Location 13
21	Aisle 0	Location 7
22	Aisle 10	Location 39
Order 11	number of articles 6	due date 183
0	Aisle 5	Location 5
1	Aisle 12	Location 22
2	Aisle 1	Location 31
3	Aisle 3	Location 26
4	Aisle 6	Location 18
5	Aisle 10	Location 26
Order 12	number of articles 10	due date 132
0	Aisle 1	Location 39
1	Aisle 2	Location 21
2	Aisle 3	Location 17
3	Aisle 2	Location 7
4	Aisle 4	Location 30
5	Aisle 1	Location 12
6	Aisle 14	Location 26
7	Aisle 13	Location 41
8	Aisle 0	Location 19
9	Aisle 0	Location 37
Order 13	number of articles 19	due date 120
0	Aisle 1	Location 29
1	Aisle 6	Location 44
2	Aisle 4	Location 23
3	Aisle 2	Location 6
4	Aisle 1	Location 32
5	Aisle 2	Location 23
6	Aisle 0	Location 18
7	Aisle 1	Location 6
8	Aisle 5	Location 40
9	Aisle 4	Location 30
10	Aisle 0	Location 9
11	Aisle 4	Location 33
12	Aisle 1	Location 41
13	Aisle 4	Location 28
14	Aisle 0	Location 44
15	Aisle 0	Location 5
16	Aisle 1	Location 38
17	Aisle 5	Location 20
18	Aisle 6	Location 25
Order 14	number of articles 21	due date 171
0	Aisle 2	Location 15
1	Aisle 2	Location 11
2	Aisle 1	Location 2
3	Aisle 0	Location 25
4	Aisle 1	Location 16
5	Aisle 15	Location 42
6	Aisle 3	Location 10
7	Aisle 1	Location 42
8	Aisle 5	Location 26
9	Aisle 1	Location 30
10	Aisle 0	Location 6
11	Aisle 1	Location 43
12	Aisle 5	Location 12
13	Aisle 1	Location 20
14	Aisle 0	Location 37
15	Aisle 0	Location 31
16	Aisle 3	Location 7
17	Aisle 0	Location 26
18	Aisle 1	Location 19
19	Aisle 1	Location 7
20	Aisle 4	Location 12
Order 15	number of articles 5	due date 28
0	Aisle 2	Location 39
1	Aisle 3	Location 22
2	Aisle 1	Location 42
3	Aisle 1	Location 17
4	Aisle 1	Location 22
Order 16	number of articles 9	due date 105
0	Aisle 1	Location 44
1	Aisle 0	Location 5
2	Aisle 1	Location 5
3	Aisle 5	Location 13
4	Aisle 1	Location 31
5	Aisle 2	Location 10
6	Aisle 10	Location 4
7	Aisle 1	Location 24
8	Aisle 0	Location 18
Order 17	number of articles 20	due date 184
0	Aisle 0	Location 27
1	Aisle 3	Location 42
